form	lemma	POS	morph
༄༅། །		PUNCT
བདག་ཅག་	བདག་ཅག་	PRON
གི་	གི་	PART
སྟོན་	སྟོན་	VERB
མཆོག་	མཆོག་	ADJ
ཐུགས་བསྐྱེད་པ་	ཐུགས་བསྐྱེད་པ་	OTHER
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
སོགས་	སོགས་	DET
།		PUNCT
དེ་	དེ་	DET
འང་	ཀྱང་	PART
བདག་ཅག་	བདག་ཅག་	PRON
གི་	གི་	PART
སྟོན་	སྟོན་	VERB
མཆོག་	མཆོག་	ADJ
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཅན་	ཅན་	PART
འདི་	འདི་	DET
དྲིན་ལན་	དྲིན་ལན་	NOUN
བསབ་པ་	བསབ་པ་	VERB
འི་	གི་	PART
མདོ་	མདོ་	NOUN
ར་	ལ་	PART
།		PUNCT
སྔོན་	སྔོན་	ADV
བསྐལ་པ་	བསྐལ་པ་	NOUN
ཐོག་མ་	ཐོག་མ་	NOUN
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
ཀྱི་	གི་	PART
གོང་རོལ་	གོང་རོལ་	NOUN
ཞིག་	ཅིག་	PART
ཏུ་	ལ་	PART
སོ་སྐྱེ་	སོ་སྐྱེ་	NOUN
འཆིང་བ་	འཆིང་བ་	VERB
ཀུན་ལྡན་	ཀུན་ལྡན་	NO_POS
དུ་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
།		PUNCT
ལས་དབང་	ལས་དབང་	NOUN
གིས་	གིས་	PART
མེ་	མེ་	NOUN
ཡི་	གི་	PART
ཤིང་རྟ་	ཤིང་རྟ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
དམྱལ་བ་	དམྱལ་བ་	NOUN
ར་	ལ་	PART
ལྟུང་བ་	ལྟུང་བ་	VERB
ན་	ལ་	PART
།		PUNCT
གྲོག་	གྲོག་	NOUN
གཞན་	གཞན་	DET
ཞིག་	ཅིག་	PART
དང་	དང་	NO_POS
བསྡོངས་	བསྡོངས་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
དམྱལ་	དམྱལ་	VERB
སྲུང་	སྲུང་	VERB
ཨ་ཝ་	ཨ་ཝ་	NO_POS
གླང་	གླང་	NOUN
མགོ་	མགོ་	NOUN
སྡོད་ས་	སྡོད་ས་	OTHER
འི་	གི་	PART
ཤིང་རྟ་	ཤིང་རྟ་	NOUN
འདྲེན་པ་	འདྲེན་པ་	VERB
འི་	གི་	PART
གྱད་	གྱད་	PROPN
དུ་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
ན་	ལ་	PART
།		PUNCT
གྲོག་	གྲོག་	NOUN
དེ་	སྟེ་	PART
ཡི་	གི་	PART
ཤིང་རྟ་	ཤིང་རྟ་	NOUN
འདྲེན་	འདྲེན་	NO_POS
མི་	མི་	PART
ནུས་པ་	ནུས་པ་	VERB
སྡུག་བསྔལ་	སྡུག་བསྔལ་	NOUN
བ་	བ་	NOUN
གྱུར་པ་	གྱུར་པ་	VERB
ལ་	ལ་	PART
།		PUNCT
གྱད་	གྱད་	PROPN
ཐེག་ཆེན་	ཐེག་ཆེན་	NOUN
གྱི་	གི་	PART
རིགས་ཅན་	རིགས་ཅན་	ADJ
ཡིན་པ་	ཡིན་པ་	AUX
ས་	གིས་	PART
སྲུང་མ་	སྲུང་མ་	NOUN
ཨ་ཝ་	ཨ་ཝ་	NO_POS
ལ་	ལ་	PART
འདི་	འདི་	DET
ལ་	ལ་	PART
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
ཅུང་	ཅུང་	OTHER
སྐྱེད་	སྐྱེད་	VERB
ཅིག་	ཅིག་	PART
བྱས་པ་	བྱས་པ་	VERB
ས་	གིས་	PART
།		PUNCT
དེ་	སྟེ་	PART
ཁྲོ་	ཁྲོ་	VERB
ས་	གིས་	PART
ན་	ནས་	PART
ལྕགས་	ལྕགས་	NOUN
ཀྱི་	གི་	PART
མདུང་རྩེ་	མདུང་རྩེ་	OTHER
གསུམ་	གསུམ་	NUM
གྱད་	གྱད་	PROPN
ཀྱི་	གི་	PART
གཉན་ས་	གཉན་ས་	NO_POS
ར་	ལ་	PART
བསྣུན་པ་	བསྣུན་པ་	VERB
ས་	གིས་	PART
ཚེ་	ཚེ་	NOUN
ཡི་	གི་	PART
དུས་བྱ་	དུས་བྱ་	NO_POS
ས་	གིས་	PART
།		PUNCT
བསྐལ་པ་	བསྐལ་པ་	NOUN
བརྒྱ་	བརྒྱ་	NUM
ཡི་	གི་	PART
སྡིག་པ་	སྡིག་པ་	VERB
བྱང་	བྱང་	NOUN
ན་	ནས་	PART
དེ་ལས་	དེ་ལས་	NO_POS
ཐ་	ཐ་	VERB
ཏེ་	སྟེ་	PART
རིང་	རིང་	NOUN
ཞིག་	ཅིག་	PART
ན་	ནས་	PART
འཛམ་གླིང་	འཛམ་གླིང་	NOUN
ལྷོ་ཕྱོགས་	ལྷོ་ཕྱོགས་	NOUN
ཀྱི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
དུ་	ལ་	PART
རྫ་མཁན་	རྫ་མཁན་	NOUN
ཁྱེའུ་	ཁྱེའུ་	NOUN
སྣང་བྱེད་	སྣང་བྱེད་	PROPN
དུ་	ལ་	PART
གྱུར་	གྱུར་	VERB
ཏེ་	སྟེ་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཤཱཀྱ་	ཤཱཀྱ་	PROPN
ཐུབ་པ་	ཐུབ་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ལ་	ལ་	PART
ཤིན་ཏུ་	ཤིན་ཏུ་	NO_POS
དད་པ་	དད་པ་	VERB
ར་	ལ་	PART
གྱུར་	གྱུར་	VERB
ཏེ་	སྟེ་	PART
།		PUNCT
ཐུག་པ་	ཐུག་པ་	VERB
འཇམ་པོ་	འཇམ་པོ་	ADJ
ཡོལ་གོ་	ཡོལ་གོ་	NO_POS
གང་	གང་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
མགྲོན་བུ་	མགྲོན་བུ་	NO_POS
ལྔ་	ལྔ་	NUM
ས་	གིས་	PART
མཆོད་	མཆོད་	VERB
དེ་	སྟེ་	PART
།		PUNCT
བདེ་བ་	བདེ་བ་	VERB
ར་	ལ་	PART
གཤེགས་པ་	གཤེགས་པ་	VERB
ཁྱེད་	ཁྱེད་	PRON
སྐུ་	སྐུ་	NOUN
ཅི་འདྲ་	ཅི་འདྲ་	NO_POS
དང་	དང་	NO_POS
།		PUNCT
སོགས་	སོགས་	DET
ཀྱི་	གི་	PART
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
བཏབ་	བཏབ་	VERB
ཅིང་	ཅིང་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
མཆོག་	མཆོག་	ADJ
ཏུ་	ལ་	PART
ཐུགས་	ཐུགས་	NOUN
ཐོག་མ་	ཐོག་མ་	NOUN
ར་	ལ་	PART
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
སྟེ་	སྟེ་	PART
།		PUNCT
མདོ་སྡེ་	མདོ་སྡེ་	NOUN
བསྐལ་བཟང་	བསྐལ་བཟང་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
ཀྱང་	ཀྱང་	PART
།		PUNCT
ང་	ང་	PRON
ནི་	ནི་	NO_POS
སྔོན་ཚེ་	སྔོན་ཚེ་	NO_POS
དམན་པ་	དམན་པ་	VERB
ར་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
། །		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་པ་	གཤེགས་པ་	VERB
ཤཱཀྱ་	ཤཱཀྱ་	PROPN
ཐུབ་	ཐུབ་	VERB
དེ་	སྟེ་	PART
ལ་	ལ་	PART
"།
།"		PUNCT
འཇམ་	འཇམ་	VERB
གང་ཞིག་	གང་ཞིག་	NO_POS
ནི་	ནི་	NO_POS
དབུལ་བ་	དབུལ་བ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
ན་	ནས་	PART
ཀྱང་	ཀྱང་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ར་	ལ་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
མཆོག་	མཆོག་	ADJ
ཏུ་	ལ་	PART
སེམས་བསྐྱེད་	སེམས་བསྐྱེད་	NOUN
དོ་	གོ་	PART
"།
།"		PUNCT
ཞེ་	ཅེས་	PART
དང་པོ་	དང་པོ་	ADJ
ར་	ལ་	PART
ཐུགས་བསྐྱེད་	ཐུགས་བསྐྱེད་	OTHER
ཚུལ་	ཚུལ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
བ་	བ་	NOUN
དུ་	ལ་	PART
ཚོགས་	ཚོགས་	NOUN
བསགས་	བསགས་	VERB
ཚུལ་	ཚུལ་	NOUN
ལ་	ལ་	PART
།		PUNCT
ཐེག་པ་	ཐེག་པ་	NOUN
ཆུང་ངུ་	ཆུང་ངུ་	ADJ
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
གྲངས་མེད་	གྲངས་མེད་	NOUN
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	PART
།		PUNCT
རྫ་མཁན་	རྫ་མཁན་	NOUN
གྱི་	གི་	PART
ཁྱེའུ་	ཁྱེའུ་	NOUN
ར་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
། །		PUNCT
ཤཱཀྱ་	ཤཱཀྱ་	PROPN
ཐུབ་པ་	ཐུབ་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
དུ་	ལ་	PART
བྱོན་པ་	བྱོན་པ་	VERB
ན་	ནས་	PART
།		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
གཤེགས་	གཤེགས་	VERB
ཡུལ་འཁོར་	ཡུལ་འཁོར་	NO_POS
སྐྱོང་	སྐྱོང་	VERB
གི་	གི་	PART
བ་	བ་	NOUN
ལ་	ལ་	PART
བདུན་	བདུན་	NUM
ཁྲི་	ཁྲི་	NUM
ལྔ་	ལྔ་	NUM
སྟོང་	སྟོང་	NUM
ལ་	ལ་	PART
བསྙེན་བཀུར་	བསྙེན་བཀུར་	NOUN
བྱས་པ་	བྱས་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
གྲངས་མེད་	གྲངས་མེད་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
ར་	ལ་	PART
བྲམ་ཟེ་	བྲམ་ཟེ་	NOUN
འི་	གི་	PART
ཁྱེའུ་	ཁྱེའུ་	NOUN
ར་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
།		PUNCT
མར་མེ་མཛད་	མར་མེ་མཛད་	PROPN
ལ་	ལ་	PART
ཨུཏྤལ་	ཨུཏྤལ་	NO_POS
སྔོན་པོ་	སྔོན་པོ་	ADJ
བདུན་	བདུན་	NUM
གཏོར་བ་	གཏོར་བ་	VERB
ན་	ནས་	PART
བདེ་གཤེགས་	བདེ་གཤེགས་	NOUN
དབང་པོ་	དབང་པོ་	NOUN
འི་	གི་	PART
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
གྱི་	གི་	PART
བ་	བ་	NOUN
བདུན་	བདུན་	NUM
ཁྲི་	ཁྲི་	NUM
དྲུག་	དྲུག་	NUM
སྟོང་	སྟོང་	NUM
ལ་	ལ་	PART
བསྙེན་བཀུར་	བསྙེན་བཀུར་	NOUN
བྱ་	བྱ་	VERB
།		PUNCT
གྲངས་མེད་	གྲངས་མེད་	NOUN
གསུམ་པ་	གསུམ་པ་	NUM
ལ་	ལ་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ར་	ལ་	PART
གྱུར་བ་	གྱུར་བ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
བདེ་གཤེགས་	བདེ་གཤེགས་	NOUN
བདེ་	བདེ་	VERB
མཛད་	མཛད་	VERB
ལ་	ལ་	PART
མཆོད་པ་	མཆོད་པ་	VERB
ཕུལ་	ཕུལ་	VERB
ཞིང་	ཅིང་	PART
།		PUNCT
དེ་	སྟེ་	PART
ཡི་	གི་	PART
སྐུ་གདུང་	སྐུ་གདུང་	NOUN
གི་	གི་	PART
མཆོད་རྟེན་	མཆོད་རྟེན་	NOUN
བརྩེགས་པ་	བརྩེགས་པ་	VERB
ན་	ནས་	PART
།		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
འོད་སྲུང་	འོད་སྲུང་	PROPN
ལ་	ལ་	ADP
ས་	གིས་	PART
རབ་ཏུ་	རབ་ཏུ་	NO_POS
བྱུང་	བྱུང་	VERB
ཞིང་	ཅིང་	PART
ཐུགས་བསྐྱེད་པ་	ཐུགས་བསྐྱེད་པ་	OTHER
འི་	གི་	PART
བ་	བ་	NOUN
བདུན་	བདུན་	NUM
ཁྲི་	ཁྲི་	NUM
བདུན་	བདུན་	NUM
སྟོང་	སྟོང་	NUM
བསྙེན་བཀུར་	བསྙེན་བཀུར་	NOUN
ཞིང་	ཅིང་	PART
མཉེས་པ་	མཉེས་པ་	VERB
ར་	ལ་	PART
བྱ་	བྱ་	VERB
སོ་	གོ་	PART
གསུངས་	གསུངས་	VERB
།		PUNCT
མཛོད་	མཛོད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
ཤཱཀྱ་	ཤཱཀྱ་	PROPN
ཐུབ་	ཐུབ་	VERB
ན་	ནས་	PART
རིན་ཆེན་	རིན་ཆེན་	OTHER
གཙུག་ཏོར་ཅན་	གཙུག་ཏོར་ཅན་	PROPN
གྱི་	གི་	PART
བ་	བ་	NOUN
གྲངས་མེད་	གྲངས་མེད་	NOUN
དང་པོ་	དང་པོ་	ADJ
།		PUNCT
མར་མེ་མཛད་	མར་མེ་མཛད་	PROPN
ཀྱི་	གི་	PART
བ་	བ་	NOUN
གྲངས་མེད་	གྲངས་མེད་	NOUN
གཉིས་	གཉིས་	NUM
།		PUNCT
རྣམ་	རྣམ་	NOUN
གཟིགས་	གཟིགས་	VERB
ཀྱི་	གི་	PART
བ་	བ་	NOUN
གྲངས་མེད་	གྲངས་མེད་	NOUN
གསུམ་	གསུམ་	NUM
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
མཚན་	མཚན་	NOUN
བཟང་	བཟང་	VERB
གི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
ལ་	ལ་	PART
བསྐལ་པ་	བསྐལ་པ་	NOUN
བརྒྱ་	བརྒྱ་	NUM
ཐོགས་	ཐོགས་	VERB
།		PUNCT
བྲམ་ཟེ་	བྲམ་ཟེ་	NOUN
འི་	གི་	PART
ཁྱེའུ་	ཁྱེའུ་	NOUN
ར་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
ན་	ལ་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
སྐར་རྒྱལ་	སྐར་རྒྱལ་	PROPN
མེ་	མེ་	NOUN
ཡི་	གི་	PART
ཁམས་	ཁམས་	NOUN
ལ་	ལ་	PART
སྙོམས་	སྙོམས་	VERB
བ་	བ་	NOUN
ཞུགས་པ་	ཞུགས་པ་	VERB
ལ་	ལ་	PART
རྐང་པ་	རྐང་པ་	NOUN
ཡ་	ཡ་	NOUN
གཅིག་	གཅིག་	NUM
འགྲེང་	འགྲེང་	NO_POS
ན་	ནས་	PART
ཞག་	ཞག་	NOUN
བདུན་	བདུན་	NUM
གྱི་	གི་	PART
བ་	བ་	NOUN
བསྐོར་བ་	བསྐོར་བ་	VERB
བྱ་	བྱ་	VERB
།		PUNCT
སྐྱེས་བུ་	སྐྱེས་བུ་	NOUN
ཁྱུ་མཆོག་	ཁྱུ་མཆོག་	NOUN
སོགས་	སོགས་	DET
ཀྱིས་	གིས་	PART
བསྟོད་པ་	བསྟོད་པ་	VERB
ས་	གིས་	PART
བསྐལ་པ་	བསྐལ་པ་	NOUN
དགུ་	དགུ་	NUM
ཡི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
ཟླུམ་	ཟླུམ་	NO_POS
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
བསྐལ་བ་	བསྐལ་བ་	NOUN
དགུ་	དགུ་	NUM
བཅུ་	བཅུ་	NUM
རྩ་	རྩ་	NUM
གཅིག་	གཅིག་	NUM
འདས་པ་	འདས་པ་	VERB
ན་	ལ་	PART
གྲོང་ཁྱེར་	གྲོང་ཁྱེར་	NOUN
ཉེ་	ཉེ་	NUM
ལྡན་	ལྡན་	VERB
དུ་	ལ་	PART
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
འོད་སྲུང་	འོད་སྲུང་	PROPN
བྱོན་པ་	བྱོན་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
བྲམ་ཟེ་	བྲམ་ཟེ་	NOUN
འི་	གི་	PART
ཁྱེའུ་	ཁྱེའུ་	NOUN
བླ་མ་	བླ་མ་	NOUN
ར་	ལ་	PART
གྱུར་པ་	གྱུར་པ་	VERB
ཡན་ཆད་	ཡན་ཆད་	ADV
ཀྱི་	གི་	PART
མཚན་	མཚན་	NOUN
གྱི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
གྲུབ་	གྲུབ་	VERB
ན་	ནས་	PART
བྱང་སེམས་	བྱང་སེམས་	NOUN
ངེས་པ་	ངེས་པ་	VERB
ལ་	ལ་	PART
གནས་པ་	གནས་པ་	VERB
ཞེ་	ཅེས་	PART
བྱ་	བྱ་	VERB
།		PUNCT
མཚན་	མཚན་	NOUN
བཟང་	བཟང་	VERB
འགྲུབ་པ་	འགྲུབ་པ་	VERB
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
མཐ་	མཐའ་	NOUN
ར་	ལ་	PART
ཕྱིན་	ཕྱིན་	VERB
ན་	ནས་	PART
དགའ་ལྡན་	དགའ་ལྡན་	PROPN
དུ་	ལ་	PART
དམ་པ་	དམ་པ་	VERB
ཏོག་	ཏོག་	NOUN
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
དུ་	ལ་	PART
འཁྲུངས་པ་	འཁྲུངས་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
སྐྱེ་བ་	སྐྱེ་བ་	VERB
གཅིག་	གཅིག་	NUM
གིས་	གིས་	PART
ཐོགས་པ་	ཐོགས་པ་	VERB
འི་	གི་	PART
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
འཛམ་གླིང་	འཛམ་གླིང་	NOUN
དུ་	ལ་	PART
དོན་	དོན་	NOUN
